"id","postcode","state","region","sub_region","suburb","phone_area","latitude","longitude"
"1","2850","NSW","Regional NSW ","Central Tablelands","AARONS PASS","02 ","-32.8633","149.8040"
"2","6280","WA","South Western ","South West","ABBA RIVER","08 ","-33.6849","115.4630"
"3","6280","WA","South Western ","South West","ABBEY","08 ","-33.6608","115.2590"
"4","3737","VIC","Northern Victoria ","North Eastern","ABBEYARD","03 ","-36.8757","146.6900"
"5","4613","QLD","Central Coast ","Bundaberg & Wide Bay","ABBEYWOOD","07 ","-26.1069","151.6290"
"6","2176","NSW","Sydney ","Liverpool/Fairfield","ABBOTSBURY","02 ","-33.8775","150.8680"
"7","2046","NSW","Sydney ","Inner West","ABBOTSFORD","02 ","-33.8525","151.1290"
"8","3067","VIC","Melbourne ","North East","ABBOTSFORD","03 ","-37.8033","145.0000"
"9","4670","QLD","Central Coast ","Bundaberg & Wide Bay","ABBOTSFORD","07 ","-24.8437","152.0250"
"10","7315","TAS","Tasmania ","North West","ABBOTSHAM","03 ","-41.2113","146.1760"
